Descripción,Tipo,Fecha,Monto,Empresa
Venta paquete aventura,Ingreso,12/01/2023,4200,WOLF TRAVEL CHILE
Compra equipos outdoor,Gasto,18/01/2023,-3200,WOLF TRAVEL CHILE
Comisión tour guiado,Ingreso,25/01/2023,800,WOLF TRAVEL CHILE
Venta paquete montaña,Ingreso,08/02/2023,2800,WOLF TRAVEL CHILE
Pago seguro equipos,Gasto,20/02/2023,-650,WOLF TRAVEL CHILE
Comisión alojamiento,Ingreso,28/02/2023,1200,WOLF TRAVEL CHILE
Venta paquete kayak,Ingreso,15/03/2023,1800,WOLF TRAVEL CHILE
Mantenimiento vehículos,Gasto,22/03/2023,-1500,WOLF TRAVEL CHILE
Comisión transporte,Ingreso,30/03/2023,950,WOLF TRAVEL CHILE
Venta paquete trekking,Ingreso,10/04/2023,3500,WOLF TRAVEL CHILE
Pago impuestos,Gasto,15/04/2023,-2800,WOLF TRAVEL CHILE
Comisión guía local,Ingreso,25/04/2023,600,WOLF TRAVEL CHILE
Venta paquete escalada,Ingreso,05/05/2023,5200,WOLF TRAVEL CHILE
Compra equipos seguridad,Gasto,18/05/2023,-4200,WOLF TRAVEL CHILE
Comisión alojamiento,Ingreso,28/05/2023,1400,WOLF TRAVEL CHILE
Venta paquete rafting,Ingreso,12/06/2023,2200,WOLF TRAVEL CHILE
Pago servicios básicos,Gasto,20/06/2023,-380,WOLF TRAVEL CHILE
Comisión transporte,Ingreso,30/06/2023,1100,WOLF TRAVEL CHILE
Venta paquete aventura,Ingreso,08/01/2024,3800,WOLF TRAVEL CHILE
Compra equipos outdoor,Gasto,15/01/2024,-2800,WOLF TRAVEL CHILE
Comisión tour guiado,Ingreso,22/01/2024,900,WOLF TRAVEL CHILE
Venta paquete montaña,Ingreso,12/02/2024,3200,WOLF TRAVEL CHILE
Pago seguro equipos,Gasto,20/02/2024,-750,WOLF TRAVEL CHILE
Comisión alojamiento,Ingreso,28/02/2024,1400,WOLF TRAVEL CHILE
Venta paquete kayak,Ingreso,18/03/2024,2100,WOLF TRAVEL CHILE
Mantenimiento vehículos,Gasto,25/03/2024,-1800,WOLF TRAVEL CHILE
Comisión transporte,Ingreso,30/03/2024,1100,WOLF TRAVEL CHILE
Venta paquete trekking,Ingreso,15/04/2024,4200,WOLF TRAVEL CHILE
Pago impuestos,Gasto,15/04/2024,-3200,WOLF TRAVEL CHILE
Comisión guía local,Ingreso,25/04/2024,700,WOLF TRAVEL CHILE
Venta paquete escalada,Ingreso,08/05/2024,6800,WOLF TRAVEL CHILE
Compra equipos seguridad,Gasto,18/05/2024,-5200,WOLF TRAVEL CHILE
Comisión alojamiento,Ingreso,28/05/2024,1600,WOLF TRAVEL CHILE
Venta paquete rafting,Ingreso,15/06/2024,2800,WOLF TRAVEL CHILE
Pago servicios básicos,Gasto,20/06/2024,-420,WOLF TRAVEL CHILE
Comisión transporte,Ingreso,30/06/2024,1300,WOLF TRAVEL CHILE
Venta de paquete turístico,Ingreso,13/07/2024,2800,WOLF TRAVEL CHILE
Mantenimiento de equipos,Gasto,10/07/2024,-300,WOLF TRAVEL CHILE 
