Descripción,Tipo,Fecha,Monto,Empresa
Venta paquete corporativo,Ingreso,20/01/2023,15000,HELPMETRAVEL SPA
Pago arriendo oficina,Gasto,25/01/2023,-1800,HELPMETRAVEL SPA
Comisión evento empresarial,Ingreso,30/01/2023,3200,HELPMETRAVEL SPA
Venta paquete incentivo,Ingreso,15/02/2023,8500,HELPMETRAVEL SPA
Compra equipos presentación,Gasto,22/02/2023,-2800,HELPMETRAVEL SPA
Comisión conferencia,Ingreso,28/02/2023,1800,HELPMETRAVEL SPA
Venta paquete capacitación,Ingreso,10/03/2023,12000,HELPMETRAVEL SPA
Pago servicios básicos,Gasto,20/03/2023,-650,HELPMETRAVEL SPA
Comisión seminario,Ingreso,30/03/2023,2500,HELPMETRAVEL SPA
Venta paquete team building,Ingreso,12/04/2023,6800,HELPMETRAVEL SPA
Pago impuestos,Gasto,15/04/2023,-4200,HELPMETRAVEL SPA
Comisión retiro empresarial,Ingreso,25/04/2023,1900,HELPMETRAVEL SPA
Venta paquete convención,Ingreso,08/05/2023,22000,HELPMETRAVEL SPA
Compra equipos audiovisuales,Gasto,18/05/2023,-8500,HELPMETRAVEL SPA
Comisión evento internacional,Ingreso,28/05/2023,4500,HELPMETRAVEL SPA
Venta paquete networking,Ingreso,15/06/2023,9500,HELPMETRAVEL SPA
Pago arriendo oficina,Gasto,25/06/2023,-1800,HELPMETRAVEL SPA
Comisión workshop,Ingreso,30/06/2023,2800,HELPMETRAVEL SPA
Venta paquete corporativo,Ingreso,25/01/2024,18000,HELPMETRAVEL SPA
Pago arriendo oficina,Gasto,25/01/2024,-1800,HELPMETRAVEL SPA
Comisión evento empresarial,Ingreso,30/01/2024,3800,HELPMETRAVEL SPA
Venta paquete incentivo,Ingreso,18/02/2024,9500,HELPMETRAVEL SPA
Compra equipos presentación,Gasto,25/02/2024,-3200,HELPMETRAVEL SPA
Comisión conferencia,Ingreso,28/02/2024,2100,HELPMETRAVEL SPA
Venta paquete capacitación,Ingreso,12/03/2024,14000,HELPMETRAVEL SPA
Pago servicios básicos,Gasto,20/03/2024,-750,HELPMETRAVEL SPA
Comisión seminario,Ingreso,30/03/2024,2900,HELPMETRAVEL SPA
Venta paquete team building,Ingreso,15/04/2024,7800,HELPMETRAVEL SPA
Pago impuestos,Gasto,15/04/2024,-4800,HELPMETRAVEL SPA
Comisión retiro empresarial,Ingreso,25/04/2024,2200,HELPMETRAVEL SPA
Venta paquete convención,Ingreso,10/05/2024,25000,HELPMETRAVEL SPA
Compra equipos audiovisuales,Gasto,18/05/2024,-9500,HELPMETRAVEL SPA
Comisión evento internacional,Ingreso,28/05/2024,5200,HELPMETRAVEL SPA
Venta paquete networking,Ingreso,18/06/2024,11000,HELPMETRAVEL SPA
Pago arriendo oficina,Gasto,25/06/2024,-1800,HELPMETRAVEL SPA
Comisión workshop,Ingreso,30/06/2024,3200,HELPMETRAVEL SPA
Pago de servicios básicos,Gasto,12/07/2024,-200,HELPMETRAVEL SPA 
