Descripción,Tipo,Fecha,Monto,Empresa
Venta paquete turístico Europa,Ingreso,15/01/2023,8500,W TRAVEL CHILE
Pago arriendo oficina,Gasto,05/01/2023,-1200,W TRAVEL CHILE
Comisión agencia aérea,Ingreso,20/01/2023,1200,W TRAVEL CHILE
Compra equipos computación,Gasto,25/01/2023,-2500,W TRAVEL CHILE
Reserva hotel Cancún,Ingreso,10/02/2023,3200,W TRAVEL CHILE
Pago servicios básicos,Gasto,15/02/2023,-450,W TRAVEL CHILE
Venta paquete Disney,Ingreso,28/02/2023,6800,W TRAVEL CHILE
Comisión crucero Caribe,Ingreso,12/03/2023,1800,W TRAVEL CHILE
Mantenimiento equipos,Gasto,20/03/2023,-800,W TRAVEL CHILE
Venta paquete Asia,Ingreso,30/03/2023,12500,W TRAVEL CHILE
Pago impuestos,Gasto,15/04/2023,-3500,W TRAVEL CHILE
Comisión hotel premium,Ingreso,22/04/2023,950,W TRAVEL CHILE
Venta paquete Sudamérica,Ingreso,28/04/2023,4200,W TRAVEL CHILE
Pago arriendo oficina,Gasto,05/05/2023,-1200,W TRAVEL CHILE
Venta paquete Europa,Ingreso,18/05/2023,9200,W TRAVEL CHILE
Compra software gestión,Gasto,25/05/2023,-1800,W TRAVEL CHILE
Comisión agencia aérea,Ingreso,08/06/2023,2100,W TRAVEL CHILE
Pago servicios básicos,Gasto,15/06/2023,-450,W TRAVEL CHILE
Venta paquete Australia,Ingreso,30/06/2023,15800,W TRAVEL CHILE
Venta paquete verano,Ingreso,10/01/2024,7200,W TRAVEL CHILE
Pago arriendo oficina,Gasto,05/01/2024,-1200,W TRAVEL CHILE
Comisión agencia aérea,Ingreso,18/01/2024,1500,W TRAVEL CHILE
Venta paquete carnaval,Ingreso,25/02/2024,5800,W TRAVEL CHILE
Pago servicios básicos,Gasto,15/02/2024,-450,W TRAVEL CHILE
Compra equipos computación,Gasto,28/02/2024,-3200,W TRAVEL CHILE
Venta paquete primavera,Ingreso,15/03/2024,6800,W TRAVEL CHILE
Mantenimiento equipos,Gasto,20/03/2024,-800,W TRAVEL CHILE
Comisión hotel premium,Ingreso,30/03/2024,1200,W TRAVEL CHILE
Venta paquete otoño,Ingreso,10/04/2024,5200,W TRAVEL CHILE
Pago impuestos,Gasto,15/04/2024,-3800,W TRAVEL CHILE
Comisión crucero,Ingreso,25/04/2024,2100,W TRAVEL CHILE
Venta paquete invierno,Ingreso,05/05/2024,8900,W TRAVEL CHILE
Pago arriendo oficina,Gasto,05/05/2024,-1200,W TRAVEL CHILE
Compra software gestión,Gasto,18/05/2024,-2200,W TRAVEL CHILE
Venta paquete navidad,Ingreso,12/06/2024,15800,W TRAVEL CHILE
Pago servicios básicos,Gasto,15/06/2024,-450,W TRAVEL CHILE
Comisión agencia aérea,Ingreso,30/06/2024,2800,W TRAVEL CHILE
Pago de cliente #1,Ingreso,15/07/2024,3500,W TRAVEL CHILE
Compra de Tasas Gubernamentales,Gasto,15/07/2024,-120,W TRAVEL CHILE
Supermercado - Provisiones,Gasto,14/07/2024,-150,W TRAVEL CHILE
Comisión por reserva,Ingreso,11/07/2024,450,W TRAVEL CHILE 
